[2026-03-16 00:30:20] INFO - Device: cuda
[2026-03-16 00:30:20] INFO - Debug mode: False
[2026-03-16 00:30:20] INFO - Variant: ewc
[2026-03-16 00:30:20] INFO - Task sequence: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-16 00:30:21] INFO - Union action space: [0, 1, 3, 4, 11, 12] (6 actions)
[2026-03-16 00:30:23] INFO - Git commit: 600fef3
[2026-03-16 00:30:23] INFO - Task 1 expert checkpoint: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:23] INFO - EWC lambda: 5000.0
[2026-03-16 00:30:23] INFO - Fisher samples: 5000
[2026-03-16 00:30:23] INFO - Online EWC: False
[2026-03-16 00:30:23] INFO - 
============================================================
[2026-03-16 00:30:23] INFO - EWC Task 1/3: BreakoutNoFrameskip-v4
[2026-03-16 00:30:23] INFO - ============================================================
[2026-03-16 00:30:23] INFO - Loading Task 1 from expert: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:24] INFO - Computing Fisher for Task 1...
[2026-03-16 00:32:20] INFO - Post-task checkpoint saved: results/checkpoints/default/ewc_after_task0_Breakout.pt
[2026-03-16 00:32:20] INFO - Task 1 (Breakout) loaded from expert. Fisher computed on 100000 states.
[2026-03-16 00:32:20] INFO - 
============================================================
[2026-03-16 00:32:20] INFO - EWC Task 2/3: SpaceInvadersNoFrameskip-v4
[2026-03-16 00:32:20] INFO - ============================================================
[2026-03-16 00:35:20] INFO - [EWC-SpaceInvaders] Step 74247/3000000 | Ep 460 | Reward: 0.0 | Mean100: 2.8 | Eps: 0.853 | Time: 152s
[2026-03-16 00:35:28] INFO - [EWC-SpaceInvaders] Step 76097/3000000 | Ep 470 | Reward: 4.0 | Mean100: 2.8 | Eps: 0.849 | Time: 160s
[2026-03-16 00:35:36] INFO - [EWC-SpaceInvaders] Step 78096/3000000 | Ep 480 | Reward: 0.0 | Mean100: 3.0 | Eps: 0.845 | Time: 168s
[2026-03-16 00:35:41] INFO - [EWC-SpaceInvaders] Step 79238/3000000 | Ep 490 | Reward: 4.0 | Mean100: 2.9 | Eps: 0.843 | Time: 173s
[2026-03-16 00:35:46] INFO - [EWC-SpaceInvaders] Step 80405/3000000 | Ep 500 | Reward: 1.0 | Mean100: 2.8 | Eps: 0.841 | Time: 178s
[2026-03-16 00:35:52] INFO - [EWC-SpaceInvaders] Step 81800/3000000 | Ep 510 | Reward: 2.0 | Mean100: 2.8 | Eps: 0.838 | Time: 184s
[2026-03-16 00:36:01] INFO - [EWC-SpaceInvaders] Step 83806/3000000 | Ep 520 | Reward: 8.0 | Mean100: 3.1 | Eps: 0.834 | Time: 192s
[2026-03-16 00:36:09] INFO - [EWC-SpaceInvaders] Step 85626/3000000 | Ep 530 | Reward: 2.0 | Mean100: 3.2 | Eps: 0.830 | Time: 200s
[2026-03-16 00:36:15] INFO - [EWC-SpaceInvaders] Step 87019/3000000 | Ep 540 | Reward: 0.0 | Mean100: 3.1 | Eps: 0.828 | Time: 206s
[2026-03-16 00:36:22] INFO - [EWC-SpaceInvaders] Step 88795/3000000 | Ep 550 | Reward: 1.0 | Mean100: 3.2 | Eps: 0.824 | Time: 214s
[2026-03-16 00:36:28] INFO - [EWC-SpaceInvaders] Step 90188/3000000 | Ep 560 | Reward: 3.0 | Mean100: 3.1 | Eps: 0.821 | Time: 219s
[2026-03-16 00:36:33] INFO - [EWC-SpaceInvaders] Step 91207/3000000 | Ep 570 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.819 | Time: 224s
[2026-03-16 00:36:42] INFO - [EWC-SpaceInvaders] Step 93481/3000000 | Ep 580 | Reward: 0.0 | Mean100: 3.0 | Eps: 0.815 | Time: 234s
[2026-03-16 00:36:48] INFO - [EWC-SpaceInvaders] Step 94884/3000000 | Ep 590 | Reward: 3.0 | Mean100: 3.1 | Eps: 0.812 | Time: 239s
[2026-03-16 00:36:52] INFO - [EWC-SpaceInvaders] Step 95865/3000000 | Ep 600 | Reward: 2.0 | Mean100: 3.1 | Eps: 0.810 | Time: 244s
[2026-03-16 00:37:00] INFO - [EWC-SpaceInvaders] Step 97646/3000000 | Ep 610 | Reward: 1.0 | Mean100: 3.2 | Eps: 0.807 | Time: 251s
[2026-03-16 00:37:06] INFO - [EWC-SpaceInvaders] Step 99000/3000000 | Ep 620 | Reward: 8.0 | Mean100: 3.0 | Eps: 0.804 | Time: 257s
[2026-03-16 00:37:23] INFO - [EWC-SpaceInvaders] Eval at step 100000: mean reward = 270.50
[2026-03-16 00:37:23] INFO - [EWC-SpaceInvaders] New best: 270.50
[2026-03-16 00:37:27] INFO - [EWC-SpaceInvaders] Step 100818/3000000 | Ep 630 | Reward: 6.0 | Mean100: 3.0 | Eps: 0.800 | Time: 278s
[2026-03-16 00:37:35] INFO - [EWC-SpaceInvaders] Step 102621/3000000 | Ep 640 | Reward: 4.0 | Mean100: 3.0 | Eps: 0.797 | Time: 287s
[2026-03-16 00:37:42] INFO - [EWC-SpaceInvaders] Step 104221/3000000 | Ep 650 | Reward: 11.0 | Mean100: 3.0 | Eps: 0.794 | Time: 293s
[2026-03-16 00:37:49] INFO - [EWC-SpaceInvaders] Step 105892/3000000 | Ep 660 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.790 | Time: 301s
[2026-03-16 00:37:54] INFO - [EWC-SpaceInvaders] Step 107103/3000000 | Ep 670 | Reward: 0.0 | Mean100: 3.2 | Eps: 0.788 | Time: 305s
